SUBBASIN_N,crop1,crop2,crop4,crop6,crop12,crop14,crop21,crop22,crop23,crop24,crop27,crop28,crop29,crop36,crop37,crop41,crop42,crop43,crop44,crop47,crop48,crop49,crop51,crop53,crop54,crop57,crop59,crop61,crop67,crop68,crop69,crop71,crop72,crop74,crop77,crop111,crop121,crop122,crop123,crop124,crop131,crop141,crop142,crop143,crop152,crop176,crop190,crop195,crop204,crop205,crop206,crop207,crop208,crop209,crop211,crop212,crop213,crop214,crop215,crop216,crop219,crop225,crop226,crop227,crop228,crop229,crop231,crop232,crop233,crop236,crop237,crop238,crop243,crop244,crop245,crop246,crop249
DENDORA VALLEY,10,31,32,0,0,0,60,0,0,30,5039,1,0,10178,618,0,0,0,6,0,0,0,0,0,0,0,1,1044,0,0,0,0,0,0,0,18,1345,467,23,0,61773,0,0,0,570259,16313,1929,386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,230,0,1275,1,0,0,0,0
DRIPPING SPRINGS WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,86,1736,793,108,19,1428,0,40488,0,1040214,460,4675,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GILA BEND,9891,5681,1421,0,0,0,10878,2096,11,1819,20905,1030,0,187681,2853,9,0,2,101,0,12,0,1,0,0,0,21,35793,0,0,0,0,0,3,0,777,19638,15316,3478,2007,61610,1,0,0,2741281,513982,28215,22194,0,2297,1,0,0,1,0,0,0,0,0,0,5,0,1,0,108,0,0,0,0,3781,25,1048,27,0,0,0,0
GILA VALLEY,64,98748,5424,0,0,0,632,37,215,2970,2,329,0,15999,1853,0,0,51,550,0,0,0,0,0,0,0,0,28181,0,74,0,0,0,1297,0,349,38750,21986,5373,1187,31552,344,317532,50,4018180,103755,32669,617,98,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,194,11,1115,0,0,0,0,0
DONNELLY WASH,0,0,0,0,0,0,0,0,0,2,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,5,3837,280,11,0,410,0,6,0,830619,2683,6214,299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOY,18542,278940,2415,0,0,0,7856,20144,1,352,10,2904,0,181774,16275,23,1,0,499,0,3,1,5889,0,0,3,36,406404,13,0,0,0,0,4673,0,847,104754,51208,21524,6413,36731,0,1,0,2062660,373364,19949,4625,0,754,0,0,0,7,43,28,0,223,0,0,6,0,244,7,0,0,0,0,1,16,266,0,17,0,1,0,129
DUNCAN VALLEY,3953,1101,12,0,0,0,670,7,0,21,34,367,0,4732,259,0,0,0,12,0,0,0,0,0,0,0,0,3819,0,0,0,0,0,2306,0,16,7509,9037,1490,49,3307,0,33774,2,1433466,75408,1197,118,11,506,0,0,0,0,0,0,0,0,0,0,0,1,3,0,16,0,0,0,0,7,9,16,0,0,0,0,0
ARAVAIPA CANYON,0,10,1,0,0,0,1,0,0,0,0,0,0,372,10,0,1,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0,22,0,1,1114,450,42,0,28,0,207686,14,1238132,35447,4582,88,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEKOL VALLEY,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,1348,809,97,1,11347,0,0,0,763378,93032,761,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUMA,29,9881,0,0,0,0,487,99201,187,0,0,23,0,53791,5602,0,0,1,523,78,642,1757,2,198,0,764,666,32,1,0,0,0,49677,190,0,5417,62719,61422,47941,12883,1130777,76,6,0,432586,44546,18317,2723,0,2,0,0,0,4,379,30,20,14655,0,0,31755,0,0,134202,0,0,6390,34289,1915,0,0,0,2249,2638,1515,0,0
AVRA VALLEY,2920,52084,187,0,0,0,2281,8734,0,28,0,5,0,23066,406,0,0,1,11,0,0,0,16,0,0,0,0,49864,0,0,0,0,0,2721,0,1389,117843,30832,7529,1447,25036,0,44332,70,5274251,515800,13425,951,11,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGER WASH,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,726,54,1,0,89,0,0,0,208330,3946,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMP GRANT WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,278,26,3,13,0,1661,0,354295,958,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON VALLEY,1487,527,443,0,0,0,20,5,0,0,4,162,0,16234,3214,0,0,0,46,0,0,0,0,0,0,0,0,114751,0,0,0,0,0,54566,0,10,35040,5223,661,68,34217,0,300789,29578,3818579,474253,3638,916,740,2,0,0,0,0,0,0,0,0,0,0,0,21,3735,0,24,0,0,0,0,0,62,32,0,0,0,0,0
SANTA ROSA VALLEY,5,8227,3,0,0,0,3,1,0,1,0,2,0,227,128,0,0,0,0,0,0,0,0,0,0,0,0,5144,0,0,0,0,3,12,0,388,9646,1889,276,46,14186,0,50,0,2725271,167937,11194,204,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
UPPER SANTA CRUZ,284,1751,0,0,0,0,53,111,0,0,0,12,0,3847,37,0,0,0,1,0,0,0,2,0,0,0,0,669,0,0,0,0,0,64,0,2413,261641,356392,186928,42392,116033,403,286335,164,3668081,27740,9973,288,262,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILLCOX,31724,27725,158,0,0,0,23,1047,0,18,156,2248,0,58983,615,0,7314,1381,3865,0,0,0,0,0,0,0,0,428044,0,3006,32,0,0,15441,0,843,66355,6578,2749,792,149738,107,578497,8577,3134387,877405,54,239,3493,584,0,0,0,0,0,0,0,0,0,0,0,11035,31010,0,47179,0,0,0,0,0,1043,342,0,0,0,0,0
AGUIRRE VALLEY,1,4357,0,0,0,0,0,4,0,1,0,0,0,132,34,0,0,0,1,0,0,0,0,0,0,0,0,6469,0,0,0,0,0,6,0,8,4889,476,32,10,10260,0,11479,1,2103379,128601,16719,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDS VALLEY,0,1,0,0,0,0,4,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,326,7386,9013,2365,204,40760,0,24,0,2292368,189858,1707,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN SIMON WASH,5,119,1,0,0,0,18,0,0,0,0,0,0,290,20,0,0,0,0,0,0,0,11,0,0,0,0,10352,0,0,0,0,0,5,0,138,15651,3287,238,122,44546,0,30243,3,5981765,375626,108574,2086,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALLEN FLAT,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,248,0,1,0,0,0,2,0,0,980,41,0,0,7,0,30384,4,454780,17181,194,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN MEXICAN DRAINAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,2110,1088,96,12,99495,0,25,0,1630988,20498,240,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIERRA VISTA,78,1266,10,0,0,0,26,7,8,3,24,40,0,6679,41,0,1,36,8,0,0,0,0,0,0,0,0,8223,0,31,1,0,0,657,0,46,87316,29645,13097,2543,3183,3,286092,971,3655487,612321,16100,424,1151,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,15,0,0,0,0,0,4,5,0,0,0,0,0
CIENEGA CREEK,1,19,0,0,0,0,0,0,0,0,0,0,0,49,0,0,4,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,16,0,0,13090,1427,215,16,69,0,211816,1308,1131829,409182,999,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,1,9,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,0,7299,0,0,0,0,0,25,0,7,7636,845,321,41,470,0,53508,35,942262,122774,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0,0,0,0
SANTA CRUZ AMA,25,372,2,0,0,0,2,3,0,0,0,1,0,2543,476,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,16,0,899,56015,10426,4355,1793,177,9,95757,287,1581852,300377,5753,235,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN BERNARDINO VALLEY,176,178,175,175,175,175,175,175,175,175,175,175,175,240,185,175,175,175,175,175,175,175,175,175,175,175,175,312,175,175,175,175,175,339,175,192,2813,375,178,175,237,175,20707,316,1067284,21146,779,1994,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
SAN RAFAEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,2740,18,13,0,1,0,144492,335,299347,211441,20,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGIN RIVER,0,0,0,0,0,0,0,0,0,0,0,2,0,627,121,0,0,0,2,0,0,0,0,0,0,0,1,454,0,0,0,0,0,0,0,3,11182,3101,890,91,3750,12,183606,1,905999,129469,7014,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIVWITS PLATEAU,0,15,0,0,0,0,0,2,0,0,0,0,0,39,27,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9951,8751,956,73,11,137898,7,888246,3,4180598,7341,2991,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANAB PLATEAU,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,6919,29098,7657,2039,274,360293,385,2873291,9,8840853,101831,2144,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARIA,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11265,1826,642,177,0,8999,0,37885,0,1114369,284,270,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAND WASH,0,0,0,0,0,0,0,0,0,0,0,0,0,266,76,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,598,2655,309,7,0,15792,6,350984,1,2339488,32538,9520,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COCONINO PLATEAU,8,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,22174,46847,23125,8695,1534,449399,8225,3282750,76,11903458,983665,3520,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUALAPAI VALLEY,0,6,0,0,0,0,0,4,0,0,0,12,0,309,23,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18587,52004,25599,4608,1603,46775,155,225242,0,3101304,4961,2159,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEADVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376,7624,2368,67,4,902,1,40749,0,482519,797,8967,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUGLAS,2767,7705,1454,0,0,0,877,100,0,13,1,244,0,22988,289,0,570,1,624,0,0,0,0,0,0,0,0,161586,0,0,0,0,0,10824,0,954,37328,8081,2208,630,677,0,5,0,1179886,123964,28,73,188,0,0,0,0,0,0,0,0,0,0,0,0,13538,8684,0,270,0,0,0,0,0,3200,7284,0,0,0,0,0
DETRITAL VALLEY,0,0,0,0,0,0,0,15,0,0,0,65,0,630,42,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,78361,23810,8162,353,8,22671,54,51189,1,2345780,29446,193,123,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAKE MOHAVE,14,147,0,0,0,0,0,530,0,0,0,7714,0,53384,3531,0,0,14,2077,0,0,0,0,0,0,0,2755,9732,0,0,0,0,0,0,0,107142,28190,48978,24742,4981,40627,0,483,0,2378495,39179,49601,10867,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
PEACH SPRINGS,0,1,0,0,0,0,0,0,0,0,0,4,0,12,25,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2445,9836,1738,268,41,77073,5,735756,1,3168202,52311,4741,512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
